team1,team2,team1_score,team2_score,match_date,match_time
Anorthosis Famagusta Esports,Diamant Esports,0,2,N/A,8:00 AM
W Streak Esports Female,ZOL Meraki,1,3,N/A,6:00 AM
Fear Eater Sierra,BIGG SCYTHE,0,2,N/A,6:00 AM
EDward Gaming,FunPlus Phoenix ZHUQUE,1,2,N/A,5:41 AM
Shenzhen NTER,Tales of Eastern,0,2,N/A,4:00 AM
Attacking Soul Esports,Number One Player,2,1,N/A,1:00 AM
Built By Gamers Academy,Cloud9,0,2,N/A,6:45 PM
Complexity,Zer0 Latency,2,1,N/A,5:30 PM
TSM Academy,Gen.G,2,1,N/A,5:30 PM
NYFU,Cloud9,1,2,N/A,4:00 PM
Cloud9 Academy,Zero MarksMen Black,0,2,N/A,3:00 PM
Ninjas In Pyjamas,KRÜ Esports,0,3,N/A,2:00 PM
Karmine Corp,beGenius,2,0,N/A,1:45 PM
DSYRE,Angry Titans,0,2,N/A,12:20 PM
Mandatory,Team BDS,2,0,N/A,11:00 AM
Fire Flux Esports,Fenerbahçe Esports,3,2,N/A,10:30 AM
MOUZ,Ovation eSports,0,2,N/A,10:00 AM
KONE eSports Club,Tales of Eastern,1,2,N/A,6:10 AM
X10 Sapphire,Orangutan X,0,3,N/A,6:00 AM
Nigma Galaxy Female,Armory Aresta,2,1,N/A,6:00 AM
TYLOO,Night Wings Gaming,1,2,N/A,3:20 AM
Shenzhen NTER,Attacking Soul Esports,2,0,N/A,1:00 AM
together we are terrific,DarkZero Esports,1,2,N/A,9:00 PM
Soniqs,together we are terrific,1,2,N/A,6:00 PM
DarkZero Esports,Oxygen Academy,2,1,N/A,6:00 PM
FiRePOWER,Skull Cracker Quartz,2,0,N/A,5:00 PM
Papara SuperMassive,FUT Esports,0,3,N/A,10:30 AM
Night Wings Gaming,Weibo Gaming,0,2,N/A,5:00 AM
FunPlus Phoenix ZHUQUE,TYLOO,2,0,N/A,3:00 AM
Tales of Eastern,Number One Player,2,0,N/A,2:00 AM
Version1,DarkZero Esports,1,2,N/A,9:25 PM
Knights,Oxygen Academy,0,2,N/A,9:15 PM
Cloud9,Soniqs,0,2,N/A,8:10 PM
BASILISK,together we are terrific,0,2,N/A,8:10 PM
Soniqs,Gen.G,2,0,N/A,6:20 PM
Cloud9,TSM Academy,2,0,N/A,6:00 PM
BASILISK,Teal Seam,2,0,N/A,6:00 PM
Built By Gamers Academy,together we are terrific,0,2,N/A,6:00 PM
Version1,DNADIFF,2,1,N/A,6:00 PM
DarkZero Esports,Elysium,2,1,N/A,6:00 PM
Knights,Lenny Time,2,1,N/A,6:00 PM
Oxygen Academy,NYFU,2,1,N/A,6:00 PM
Skull Cracker Quartz,Akave Esports GC,2,1,N/A,5:00 PM
Fenerbahçe Esports,Thunderbolts Gaming,2,0,N/A,12:00 PM
FUT Esports,Galatasaray Esports,2,0,N/A,9:30 AM
Lethal Esports,Revenant Esports,2,3,N/A,6:30 AM
EDward Gaming,TYLOO,2,0,N/A,6:05 AM
KONE eSports Club,Number One Player,2,0,N/A,4:00 AM
FiRePOWER,Skull Cracker Quartz,2,0,N/A,8:45 PM
together we are terrific,Cosmic Divide,2,1,N/A,8:40 PM
TSM Academy,Windmill Isle,2,0,N/A,8:30 PM
Zero MarksMen Black,Teal Seam,0,2,N/A,8:30 PM
SoaR,Elysium,0,2,N/A,8:15 PM
Indecisive,NYFU,1,2,N/A,8:05 PM
VIRTUOSO,DNADIFF,0,2,N/A,7:55 PM
Lenny Time,Complexity,2,0,N/A,7:45 PM
Gen.G,Mad Science,2,0,N/A,7:30 PM
Kitten Shelter,Cosmic Divide,0,2,N/A,6:55 PM
Oxygen Academy,together we are terrific,13,5,N/A,6:40 PM
Knights Academy,NYFU,0,2,N/A,6:30 PM
Cloud9,VIRTUOSO,14,12,N/A,6:00 PM
Levitate,DNADIFF,0,2,N/A,6:00 PM
Version1,TSM Academy,13,6,N/A,6:00 PM
Windmill Isle,Native Gaming,2,1,N/A,6:00 PM
Knights,Zero MarksMen Black,13,8,N/A,6:00 PM
Stasis,Teal Seam,0,2,N/A,6:00 PM
Lenny Time,BASILISK,6,13,N/A,6:00 PM
TradeLikePros,Complexity,0,2,N/A,6:00 PM
SoaR,Soniqs,7,13,N/A,6:00 PM
PUGSTARS,Elysium,0,2,N/A,6:00 PM
Gen.G,DarkZero Esports,1,13,N/A,6:00 PM
The Ganaccis,Mad Science,0,2,N/A,6:00 PM
Built By Gamers Academy,Indecisive,13,6,N/A,6:00 PM
Akave Esports GC,Deportivo Cali Esports,2,1,N/A,5:00 PM
Cloud9,Levitate,13,11,N/A,5:00 PM
DNADIFF,VIRTUOSO,11,13,N/A,5:00 PM
Version1,Windmill Isle,13,2,N/A,5:00 PM
TSM Academy,Native Gaming,13,8,N/A,5:00 PM
Knights,Stasis,13,7,N/A,5:00 PM
Teal Seam,Zero MarksMen Black,10,13,N/A,5:00 PM
Lenny Time,TradeLikePros,13,8,N/A,5:00 PM
Complexity,BASILISK,7,13,N/A,5:00 PM
SoaR,PUGSTARS,13,1,N/A,5:00 PM
Soniqs,Elysium,15,13,N/A,5:00 PM
Gen.G,The Ganaccis,13,3,N/A,5:00 PM
DarkZero Esports,Mad Science,13,5,N/A,5:00 PM
Built By Gamers Academy,Knights Academy,13,11,N/A,5:00 PM
NYFU,Indecisive,13,15,N/A,5:00 PM
Oxygen Academy,Kitten Shelter,15,13,N/A,5:00 PM
Cosmic Divide,together we are terrific,16,18,N/A,5:00 PM
OpTic Gaming,XSET,1,3,N/A,3:00 PM
KRÜ Esports,LEVIATÁN,0,3,N/A,2:00 PM
LOUD,Ninjas In Pyjamas,3,0,N/A,11:00 AM
FNATIC,FunPlus Phoenix,3,0,N/A,9:00 AM
DRX,Maru Gaming,3,0,N/A,2:00 AM
Paper Rex,XERXIA Esports,3,0,N/A,1:45 AM
ZETA DIVISION,NORTHEPTION,1,3,N/A,10:15 PM
Team Secret,XERXIA Esports,1,2,N/A,10:00 PM
XSET,FaZe Clan,3,1,N/A,3:00 PM
FUSION,LEVIATÁN,2,3,N/A,2:30 PM
Ninjas In Pyjamas,Keyd Stars,3,2,N/A,11:00 AM
Guild Esports,FunPlus Phoenix,0,3,N/A,9:00 AM
ONIC G,XERXIA Esports,0,2,N/A,7:00 AM
Paper Rex,Team Secret,2,0,N/A,4:30 AM
DAMWON Gaming,Maru Gaming,1,3,N/A,2:00 AM
BLEED,XERXIA Esports,1,2,N/A,1:00 AM
NORTHEPTION,Crazy Raccoon,2,0,N/A,12:50 AM
ONIC G,Alter Ego,2,1,N/A,10:00 PM
NORTHEPTION,ZETA DIVISION,0,2,N/A,9:40 PM
NRG Esports,FaZe Clan,1,2,N/A,7:45 PM
Version1,Built By Gamers Academy,2,0,N/A,5:30 PM
Cosmic Divide,Oxygen Academy,1,2,N/A,5:30 PM
FUSION,KRÜ Esports,0,2,N/A,4:45 PM
SoaR,Gen.G,2,0,N/A,3:00 PM
XSET,OpTic Gaming,1,3,N/A,3:00 PM
LEVIATÁN,E-Xolos LAZER,2,0,N/A,2:00 PM
FunPlus Phoenix,M3 Champions,2,1,N/A,11:30 AM
LOUD,Ninjas In Pyjamas,3,0,N/A,11:00 AM
Guild Esports,FNATIC,0,2,N/A,9:05 AM
Revenant Esports,prime 5,2,0,N/A,6:30 AM
BOOM Esports,XERXIA Esports,1,2,N/A,5:30 AM
Alter Ego,Griffin E-Sports,2,0,N/A,3:00 AM
ONIC G,Team Secret,0,2,N/A,12:40 AM
Paper Rex,BLEED,2,1,N/A,10:00 PM
Keyd Stars,Los Grandes,2,0,N/A,5:50 PM
KRÜ Esports,E-Xolos LAZER,2,0,N/A,5:15 PM
Knights Academy,Cloud9,1,2,N/A,4:00 PM
Zero Tenacity,NOM Esports,6,13,N/A,2:00 PM
FUSION,LEVIATÁN,2,1,N/A,2:00 PM
Los Grandes,FURIA,2,1,N/A,2:00 PM
Entropiq,Anorthosis Famagusta Esports,9,13,N/A,12:15 PM
Anonymo Esports,Enterprise Esports,13,10,N/A,11:00 AM
Keyd Stars,MIBR,2,0,N/A,11:00 AM
Diamant Esports,TENSTAR,11,13,N/A,10:00 AM
XERXIA Esports,Team Secret,1,2,N/A,6:30 AM
Lethal Esports,Revenant Esports,2,1,N/A,6:00 AM
ONIC G,BOOM Esports,2,1,N/A,3:30 AM
BLEED,Griffin E-Sports,2,0,N/A,1:00 AM
Paper Rex,Alter Ego,2,1,N/A,10:00 PM
Complexity,Akrew,1,2,N/A,6:00 PM
Built By Gamers Academy,Knights Academy,1,2,N/A,3:00 PM
Cloud9 Academy,Soniqs,2,1,N/A,3:00 PM
Version1,TSM Academy,2,1,N/A,3:00 PM
Ninjas In Pyjamas,Keyd Stars,2,0,N/A,1:15 PM
NOM Esports,Entropiq,13,11,N/A,1:00 PM
Zero Tenacity,Diamant Esports,11,13,N/A,12:00 PM
TENSTAR,Enterprise Esports,13,4,N/A,11:00 AM
LOUD,Los Grandes,2,0,N/A,11:00 AM
Anorthosis Famagusta Esports,Anonymo Esports,13,8,N/A,10:00 AM
Rebels Gaming,Movistar Riders,2,0,N/A,10:00 AM
Oxygen Academy,CrouchShoot,2,1,N/A,10:30 PM
Oxygen Academy,TSM Academy,2,0,N/A,7:30 PM
Teal Seam,CrouchShoot,1,2,N/A,7:15 PM
Oxygen Academy,Knights Academy,2,1,N/A,4:00 PM
Lenny Time,TSM Academy,1,2,N/A,4:00 PM
Tylers Corgis,Teal Seam,1,2,N/A,4:00 PM
QoR,CrouchShoot,0,2,N/A,4:00 PM
MAD Lions,WYLDE,13,9,N/A,3:00 PM
beGenius,Team BDS,10,13,N/A,2:20 PM
KOVA,Alliance,2,0,N/A,2:15 PM
FURIA,Keyd Stars,1,2,N/A,2:15 PM
Angry Titans,MOUZ,0,2,N/A,2:00 PM
Karmine Corp,Team Vitality,2,13,N/A,1:15 PM
Galatasaray Esports,Galakticos,2,0,N/A,12:15 PM
Wave Esports,CGN Esports,1,1,N/A,12:00 PM
Valar Morghulis,Mandatory,13,11,N/A,12:00 PM
KPI Gaming,BISONS ECLUB,2,1,N/A,12:00 PM
who cars?,Human Tripwires,2,1,N/A,11:00 AM
Sector One,OG,10,13,N/A,11:00 AM
MIBR,Los Grandes,1,2,N/A,11:00 AM
Arctic,UCAM Esports Club,1,2,N/A,10:00 AM
Papara SuperMassive,Team Lixa,2,0,N/A,9:30 AM
Maru Gaming,World Game Star,2,0,N/A,5:00 AM
DRX,DAMWON Gaming,2,0,N/A,2:00 AM
Tylers Corgis,Stasis,2,0,N/A,8:20 PM
Built By Gamers Academy,Oxygen Academy,1,2,N/A,8:15 PM
Lenny Time,NYFU,2,0,N/A,8:00 PM
Teal Seam,TradeLikePros,2,0,N/A,7:55 PM
QoR,Team Omega,2,0,N/A,7:55 PM
The Ganaccis,Knights Academy,1,2,N/A,7:50 PM
TSM Academy,ONi,2,0,N/A,7:50 PM
VIRTUOSO,CrouchShoot,1,2,N/A,7:50 PM
Built By Gamers Academy,Stasis,13,7,N/A,6:00 PM
Oxygen Academy,Tylers Corgis,9,13,N/A,6:00 PM
NYFU,Project VII,13,9,N/A,6:00 PM
Lenny Time,Area of Effect,13,6,N/A,6:00 PM
TSM Academy,CrouchShoot,13,8,N/A,6:00 PM
VIRTUOSO,ONi,13,6,N/A,6:00 PM
Teal Seam,Knights Academy,13,5,N/A,6:00 PM
Built By Gamers Academy,Team Major Academy,13,5,N/A,5:00 PM
Oxygen Academy,Hyperspace Dark,13,8,N/A,5:00 PM
NYFU,Nightblood Gaming,3,13,N/A,5:00 PM
Lenny Time,Team Omega,13,6,N/A,5:00 PM
TSM Academy,Northern Forces,13,6,N/A,5:00 PM
VIRTUOSO,NBKS Mercenaries,13,3,N/A,5:00 PM
Teal Seam,Fusillade,13,6,N/A,5:00 PM
Knights Academy,Lycus Empire,13,6,N/A,5:00 PM
DIRETORIA,Rise Gaming,3,1,N/A,4:00 PM
Karmine Corp,OG,13,5,N/A,3:45 PM
Team BDS,Sector One,14,12,N/A,2:25 PM
SPARX ESPORTS,ALTERNATE aTTaX,0,2,N/A,2:00 PM
HEET,EXCEL,0,2,N/A,1:45 PM
Thunderbolts Gaming,Fire Flux Esports,1,2,N/A,1:20 PM
WYLDE,Valar Morghulis,13,11,N/A,1:15 PM
BISONS ECLUB,Team Galaga,2,1,N/A,12:15 PM
beGenius,MAD Lions,10,13,N/A,12:10 PM
Ovation eSports,DSYRE,0,2,N/A,12:00 PM
H2O,Finest,2,1,N/A,11:00 AM
Team Vitality,Mandatory,13,11,N/A,11:00 AM
ZETA Gaming,Team Galaga,0,2,N/A,10:00 AM
Fenerbahçe Esports,FUT Esports,2,1,N/A,9:30 AM
World Game Star,SPEAR GAMING,2,1,N/A,5:00 AM
Fancy United Esports,Team Secret,0,2,N/A,3:50 AM
Incheon On Sla2ers,Maru Gaming,0,2,N/A,2:00 AM
ORDER,BOOM Esports,1,2,N/A,1:00 AM
Alter Ego,Rex Regum Qeon,2,1,N/A,10:00 PM
100 Thieves,FaZe Clan,1,2,N/A,6:30 PM
Immortals,dart monkeys,2,0,N/A,5:30 PM
Evil Geniuses,NRG Esports,1,2,N/A,3:00 PM
dart monkeys,TSM X,2,1,N/A,1:00 PM
FunPlus Phoenix,Acend,2,1,N/A,12:05 PM
M3 Champions,Team Liquid,2,1,N/A,9:00 AM
Incheon On Sla2ers,DAMWON Gaming,1,2,N/A,5:00 AM
Gaimin Gladiators,Griffin E-Sports,0,2,N/A,3:10 AM
DRX,World Game Star,2,0,N/A,2:00 AM
BLEED,Fancy United Esports,2,1,N/A,11:45 PM
Paper Rex,ORDER,2,0,N/A,10:00 PM
OpTic Gaming,Evil Geniuses,2,0,N/A,5:35 PM
XSET,100 Thieves,2,0,N/A,3:00 PM
Unicorns of Love,Sissi State Punks,0,2,N/A,2:30 PM
Cosmic Divide,Cloud9 Academy,2,0,N/A,2:00 PM
FNATIC,FunPlus Phoenix,2,1,N/A,11:10 AM
Guild Esports,M3 Champions,2,0,N/A,9:00 AM
DAMWON Gaming,SPEAR GAMING,2,0,N/A,5:00 AM
XERXIA Esports,Alter Ego,2,0,N/A,2:30 AM
World Game Star,Maru Gaming,2,1,N/A,2:00 AM
ONIC G,Gaimin Gladiators,2,0,N/A,12:15 AM
Team Secret,FW Esports,2,0,N/A,10:00 PM
FaZe Clan,Luminosity,2,1,N/A,5:55 PM
Complexity,Oxygen Academy,1,2,N/A,5:30 PM
Ghost Gaming,NRG Esports,0,2,N/A,3:20 PM
Akrew,Zero MarksMen Black,2,0,N/A,3:00 PM
Team Liquid,FunPlus Phoenix,1,2,N/A,11:35 AM
Acend,M3 Champions,0,2,N/A,9:00 AM
BOOM Esports,Oasis Gaming,2,0,N/A,4:00 AM
Rex Regum Qeon,Global Esports,2,1,N/A,11:45 PM
Made in Thailand,Griffin E-Sports,0,2,N/A,10:00 PM
Ghost Gaming,Evil Geniuses,0,2,N/A,6:55 PM
SoaR,TSM Academy,0,2,N/A,5:30 PM
LUSA Red,Breakout,2,0,N/A,4:45 PM
FaZe Clan,100 Thieves,1,2,N/A,3:20 PM
Gen.G,NYFU,2,1,N/A,3:00 PM
Soniqs,Zer0 Latency,2,0,N/A,3:00 PM
Arctic,Rebels Gaming,7,13,N/A,2:20 PM
Giants Gaming,KOI,13,4,N/A,1:15 PM
Anonymo Esports,Diamant Esports,6,13,N/A,1:15 PM
Movistar Riders,UCAM Esports Club,4,13,N/A,12:20 PM
TENSTAR,Anorthosis Famagusta Esports,7,13,N/A,12:00 PM
Team Queso,Case Esports,9,13,N/A,11:00 AM
NOM Esports,Enterprise Esports,3,13,N/A,11:00 AM
Real Betis,Team Heretics,13,10,N/A,10:00 AM
Zero Tenacity,Entropiq,13,4,N/A,10:00 AM
Team Secret,BLEED,0,2,N/A,4:50 AM
Paper Rex,BOOM Esports,2,0,N/A,2:25 AM
XERXIA Esports,Rex Regum Qeon,2,0,N/A,12:20 AM
ONIC G,Made in Thailand,2,0,N/A,10:00 PM
Built By Gamers Academy,YFP Gaming,2,0,N/A,7:25 PM
Oxygen Academy,Built By Gamers Academy,0,2,N/A,5:00 PM
VIRTUOSO,YFP Gaming,1,2,N/A,5:00 PM
UCAM Esports Club,Giants Gaming,9,13,N/A,2:10 PM
Zero Tenacity,Anonymo Esports,8,13,N/A,1:40 PM
Team Heretics,Case Esports,11,13,N/A,1:00 PM
Entropiq,TENSTAR,11,13,N/A,12:20 PM
Arctic,Movistar Riders,7,13,N/A,12:00 PM
Diamant Esports,NOM Esports,3,13,N/A,11:20 AM
Real Betis,Rebels Gaming,5,13,N/A,11:00 AM
Team Queso,KOI,13,9,N/A,10:00 AM
Enterprise Esports,Anorthosis Famagusta Esports,10,13,N/A,10:00 AM
FW Esports,Fancy United Esports,1,2,N/A,4:10 AM
Oasis Gaming,ORDER,0,2,N/A,2:20 AM
Alter Ego,Global Esports,2,0,N/A,12:15 AM
Gaimin Gladiators,Griffin E-Sports,2,0,N/A,10:00 PM
Misfits Black,Native Gaming White,0,2,N/A,9:00 PM
NYFU,Built By Gamers Academy,1,2,N/A,8:30 PM
Misfits Black,VersionX,2,0,N/A,6:50 PM
Soniqs,VIRTUOSO,0,2,N/A,6:50 PM
Native Gaming White,Team Opulence Black,2,0,N/A,6:30 PM
Oxygen Academy,Zer0 Latency,2,0,N/A,5:00 PM
Area of Effect,Cloud9 Academy,0,2,N/A,5:00 PM
NYFU,Knights Academy,0,0,N/A,5:00 PM
Built By Gamers Academy,The Ganaccis,2,1,N/A,5:00 PM
Soniqs,BASILISK,2,0,N/A,5:00 PM
VIRTUOSO,NBKS Titans,2,0,N/A,5:00 PM
Lenny Time,Windmill Isle,2,0,N/A,5:00 PM
Vexo Esports,YFP Gaming,1,2,N/A,5:00 PM
WYLDE,Sector One,10,13,N/A,3:30 PM
TSM X,Misfits Black,1,2,N/A,3:00 PM
Valar Morghulis,Team Vitality,5,13,N/A,2:30 PM
Giants Gaming,Case Esports,13,6,N/A,2:15 PM
CGN Esports,MOUZ,0,2,N/A,2:10 PM
who cars?,EXCEL,0,2,N/A,2:00 PM
Movistar Riders,Rebels Gaming,3,13,N/A,1:30 PM
beGenius,Mandatory,7,13,N/A,1:30 PM
Arctic,Team Heretics,13,5,N/A,12:30 PM
MAD Lions,OG,13,5,N/A,12:30 PM
SPARX ESPORTS,Angry Titans,0,2,N/A,12:00 PM
Papara SuperMassive,FUT Esports,2,1,N/A,12:00 PM
UCAM Esports Club,KOI,13,15,N/A,11:05 AM
H2O,HEET,1,2,N/A,11:00 AM
Karmine Corp,Team BDS,16,14,N/A,11:00 AM
Team Queso,Real Betis,13,5,N/A,10:00 AM
Fenerbahçe Esports,Fire Flux Esports,0,2,N/A,9:30 AM
Oxygen Academy,Run it Down,2,0,N/A,8:00 PM
Tylers Corgis,Cloud9 Academy,1,2,N/A,8:00 PM
NYFU,E-Daters Inc.,2,0,N/A,8:00 PM
Knights Academy,Levitate,2,0,N/A,8:00 PM
Cosmic Divide,Built By Gamers Academy,0,2,N/A,8:00 PM
Soniqs,Lycus Empire,2,1,N/A,8:00 PM
VersionX,dart monkeys,2,0,N/A,7:15 PM
Elysium Rose,Team Opulence Black,0,2,N/A,7:15 PM
Oxygen Academy,Lycus Empire,13,7,N/A,6:00 PM
Soniqs,TradeLikePros,13,7,N/A,6:00 PM
Lenny Time,New Moon,13,7,N/A,6:00 PM
NYFU,afterMath Esports,13,8,N/A,6:00 PM
Cosmic Divide,Project VII,13,8,N/A,6:00 PM
Built By Gamers Academy,Vexo Esports,5,13,N/A,6:00 PM
VIRTUOSO,Area of Effect,13,6,N/A,6:00 PM
Oxygen Academy,Aerial Academy,13,3,N/A,5:00 PM
Soniqs,The Nacho Shrimps,13,1,N/A,5:00 PM
Lenny Time,E-Daters Inc.,13,6,N/A,5:00 PM
NYFU,COPPER BLUE OVALS,13,4,N/A,5:00 PM
Cosmic Divide,Team Very Atrocious,13,0,N/A,5:00 PM
Built By Gamers Academy,Happy Accidents,13,5,N/A,5:00 PM
Cloud9 Academy,1Rule,13,3,N/A,5:00 PM
Knights Academy,Jellyspotters,13,6,N/A,5:00 PM
Team Vitality,Sector One,13,7,N/A,3:45 PM
Karmine Corp,MAD Lions,11,13,N/A,2:25 PM
ALTERNATE aTTaX,Ovation eSports,0,2,N/A,2:20 PM
Alliance,Finest,0,2,N/A,2:20 PM
Team BDS,Mandatory,10,13,N/A,1:15 PM
Galatasaray Esports,Team Lixa,2,0,N/A,1:05 PM
WYLDE,beGenius,13,7,N/A,12:15 PM
DSYRE,Wave Esports,0,2,N/A,12:00 PM
Human Tripwires,KOVA,1,2,N/A,11:00 AM
Valar Morghulis,OG,9,13,N/A,11:00 AM
Thunderbolts Gaming,Galakticos,2,1,N/A,9:30 AM
Maru Gaming,CNJ Esports,1,2,N/A,4:40 AM
DRX,SPEAR GAMING,2,0,N/A,2:00 AM
Ninjas In Pyjamas,MIBR,2,1,N/A,5:40 PM
OpTic Gaming,Luminosity,2,0,N/A,5:00 PM
TBK Esports,Liberty,2,1,N/A,3:00 PM
Cloud9,Sentinels,2,0,N/A,3:00 PM
LEVIATÁN,9z Team,2,0,N/A,2:00 PM
FNATIC,G2 Esports,2,1,N/A,11:10 AM
BIG,BBL Esports,0,2,N/A,9:00 AM
REJECT,Crazy Raccoon,0,2,N/A,6:00 AM
Incheon On Sla2ers,World Game Star,1,2,N/A,5:00 AM
Crazy Raccoon,BLUE BEES.ESP,2,0,N/A,3:00 AM
DAMWON Gaming,Tartarus,2,0,N/A,2:00 AM
Rex Regum Qeon,Ghetto Artist,2,0,N/A,2:00 AM
BOOM Esports,CERBERUS Esports,2,0,N/A,12:00 AM
FAV gaming,REJECT,0,2,N/A,12:00 AM
100 Thieves,Ghost Gaming,0,2,N/A,6:50 PM
Gamelanders Blue,LOUD,0,2,N/A,5:10 PM
SoaR,Version1,1,2,N/A,5:00 PM
KRÜ Esports,LEVIATÁN,2,0,N/A,4:10 PM
Stars Horizon,Los Grandes,0,2,N/A,3:00 PM
NRG Esports,The Guard,2,1,N/A,3:00 PM
Cloud9 Academy,Zer0 Latency,2,0,N/A,2:00 PM
Optix,9z Team,0,2,N/A,2:00 PM
FOKUS,OG LDN UTD,2,1,N/A,12:30 PM
Natus Vincere,Guild Esports,2,1,N/A,9:00 AM
Ghetto Artist,Team Big BAAM,2,0,N/A,8:00 AM
ZETA DIVISION,FAV gaming,2,0,N/A,7:15 AM
Maru Gaming,SPEAR GAMING,2,1,N/A,5:00 AM
CERBERUS Esports,Enigma Gaming,2,1,N/A,4:20 AM
NORTHEPTION,Crazy Raccoon,2,1,N/A,3:45 AM
DRX,CNJ Esports,2,0,N/A,2:00 AM
BLEED,Rex Regum Qeon,2,1,N/A,1:00 AM
BLUE BEES.ESP,Sengoku Gaming,2,0,N/A,1:00 AM
BOOM Esports,Made in Thailand,1,2,N/A,10:00 PM
Jadeite,REJECT,1,2,N/A,9:00 PM
Cosmic Divide,Complexity,2,1,N/A,5:55 PM
FaZe Clan,Evil Geniuses,2,0,N/A,5:25 PM
E-Xolos LAZER,Team Cruelty,2,0,N/A,4:00 PM
XSET,TSM,2,0,N/A,3:15 PM
Soniqs,Akrew,0,2,N/A,3:00 PM
TSM Academy,NYFU,1,2,N/A,3:00 PM
Knights Academy,Gen.G,2,1,N/A,3:00 PM
M3 Champions,Team Liquid,0,2,N/A,12:20 PM
Acend,FunPlus Phoenix,2,1,N/A,9:00 AM
Sengoku Gaming,FAV gaming,0,2,N/A,6:20 AM
KONE eSports Club,EDward Gaming,2,3,N/A,4:00 AM
ZETA DIVISION,BLUE BEES.ESP,2,0,N/A,3:30 AM
Made in Thailand,Enigma Gaming,2,1,N/A,1:45 AM
Crazy Raccoon,REJECT,2,0,N/A,12:25 AM
Rex Regum Qeon,Team Big BAAM,2,0,N/A,12:00 AM
NORTHEPTION,Jadeite,2,1,N/A,9:00 PM
Teal Seam,Lenny Time,1,2,N/A,8:55 PM
E-Xolos LAZER,FUSION,0,2,N/A,7:00 PM
Teal Seam,NYFU,2,1,N/A,6:05 PM
Gen.G,Lenny Time,0,2,N/A,5:55 PM
Six Karma,Team Cruelty,1,2,N/A,4:00 PM
beGenius,Sector One,14,12,N/A,3:50 PM
Built By Gamers Academy,Teal Seam,1,2,N/A,3:00 PM
Cosmic Divide,NYFU,0,2,N/A,3:00 PM
Gen.G,Nearest Airport,2,1,N/A,3:00 PM
Soniqs,Lenny Time,1,2,N/A,3:00 PM
Arctic,Team Queso,5,13,N/A,2:40 PM
Team Vitality,OG,13,8,N/A,2:40 PM
NOM Esports,Anonymo Esports,14,12,N/A,2:00 PM
Giants Gaming,Real Betis,13,5,N/A,1:30 PM
MAD Lions,Mandatory,13,11,N/A,1:30 PM
Zero Tenacity,TENSTAR,6,13,N/A,12:50 PM
KOI,Case Esports,16,14,N/A,12:00 PM
Karmine Corp,Valar Morghulis,10,13,N/A,12:00 PM
Entropiq,Enterprise Esports,14,12,N/A,11:20 AM
WYLDE,Team BDS,11,13,N/A,11:00 AM
Movistar Riders,Team Heretics,14,12,N/A,10:50 AM
Rebels Gaming,UCAM Esports Club,0,13,N/A,10:00 AM
Diamant Esports,Anorthosis Famagusta Esports,13,11,N/A,10:00 AM
Shenzhen NTER,EDward Gaming,1,3,N/A,4:00 AM
BLEED,Ghetto Artist,2,1,N/A,1:00 AM
BOOM Esports,CERBERUS Esports,2,1,N/A,10:00 PM
Teal Seam,BASILISK,2,0,N/A,8:00 PM
Gen.G,PUGSTARS,2,1,N/A,6:05 PM
Soniqs,Team Flux,2,0,N/A,5:55 PM
Oxygen Academy,Zero MarksMen Black,2,0,N/A,5:50 PM
Gen.G,Panda Party,2,0,N/A,5:30 PM
MAD Lions,Valar Morghulis,13,7,N/A,3:25 PM
UCAM Esports Club,Case Esports,11,13,N/A,2:30 PM
beGenius,OG,13,9,N/A,2:10 PM
KOI,Real Betis,13,6,N/A,1:30 PM
Enterprise Esports,Diamant Esports,11,13,N/A,1:20 PM
Sector One,Mandatory,7,13,N/A,1:20 PM
Rebels Gaming,Team Heretics,14,12,N/A,12:20 PM
Entropiq,Anonymo Esports,6,13,N/A,12:20 PM
Team BDS,Team Vitality,10,13,N/A,12:10 PM
Movistar Riders,Team Queso,8,13,N/A,11:20 AM
TENSTAR,NOM Esports,13,9,N/A,11:00 AM
Karmine Corp,WYLDE,13,5,N/A,11:00 AM
Giants Gaming,Arctic,13,9,N/A,10:00 AM
Zero Tenacity,Anorthosis Famagusta Esports,13,6,N/A,10:00 AM
EDward Gaming,Night Wings Gaming,2,0,N/A,7:00 AM
KONE eSports Club,Shenzhen NTER,2,1,N/A,4:00 AM
NYFU,Lenny Time,1,2,N/A,9:20 PM
The Ganaccis,NYFU,0,2,N/A,7:00 PM
Lenny Time,Soniqs,2,1,N/A,6:30 PM
Valar Morghulis,Sector One,9,13,N/A,3:20 PM
Movistar Riders,Giants Gaming,13,9,N/A,3:00 PM
Angry Titans,DSYRE,1,1,N/A,2:00 PM
who cars?,KOVA,2,0,N/A,2:00 PM
MAD Lions,Team Vitality,13,5,N/A,2:00 PM
Case Esports,Real Betis,13,10,N/A,1:30 PM
Karmine Corp,beGenius,13,8,N/A,1:00 PM
UCAM Esports Club,Team Heretics,10,13,N/A,12:30 PM
MOUZ,SPARX ESPORTS,2,0,N/A,12:00 PM
Papara SuperMassive,Fire Flux Esports,2,1,N/A,12:00 PM
Team BDS,OG,13,6,N/A,12:00 PM
KOI,Arctic,8,13,N/A,11:15 AM
Human Tripwires,Finest,1,2,N/A,11:00 AM
WYLDE,Mandatory,1,13,N/A,11:00 AM
Rebels Gaming,Team Queso,12,14,N/A,10:10 AM
Galatasaray Esports,FUT Esports,0,2,N/A,9:35 AM
